game_card_id	mtg_name	reason
2304	Black Lotus	Power Nine exception: iconic artifact for a magical lamp/wisp slot.
2314	Time Walk	Power Nine exception: iconic sorcery for a ringing/time-event slot.
2319	Ancestral Recall	Power Nine exception: iconic blue instant for snow-wand/magic slot.
2406	Timetwister	Power Nine exception: iconic sorcery for mirror/mystic distortion slot.
2408	Sol Ring	Iconic Old School artifact for ancient machine/music slot.
1314	Thundercloud Elemental	Halloween: cloud/thunder entity fits better than a human knight.
1315	Will-o'-the-Wisp	Halloween: direct ghost-lantern/wisp flavor.
1316	Mold Demon	Halloween: fungus demon fits Poison Miasma.
1317	Skulking Ghost	Halloween: playful/simple ghost is a better fit than Karmic Guide.
1318	Guiltfeeder	Keep: strong shadow ghost/horror fit from draft.
1319	Headless Horseman	Halloween: pumpkin/headless spooky creature flavor.
1320	Sengir Bats	Halloween: bat/vampire flavor.
1321	Lord of the Pit	Halloween: giant mouth demon should be a demon, not a paladin.
1322	Shivan Dragon	Classic MTG chase creature for the highest-value Halloween super rare slot.
100001	Chromium	Rain God: blue-aligned iconic Elder Dragon is a better divine fit than Sliver Queen.
100002	Nicol Bolas	Moon/Mystic God: iconic dark/mystic Elder Dragon.
100003	Rorix Bladewing	Keep: strong fire god legendary fit from draft.
100004	Silvos, Rogue Elemental	Keep: strong grass god legendary fit from draft.
1107	Lightning Hounds	Creature flavor: electric dog should map to a hound, not a wizard.
1108	Plague Rats	Creature flavor: rat slot should map to a rat, not soldiers.
1116	Jackalope Herd	Creature flavor: bouncing small animal slot.
1120	Tree Monkey	Creature flavor: monkey slot should map to a monkey, not a soldier.
1209	Sengir Vampire	Creature flavor: vampire bat dragon should map to vampire/bat, not wizard.
1308	Eternal Dragon	Creature flavor: frozen dragon slot should remain dragon-like and high-impact.
1401	Vesuvan Doppelganger	Super rare: different pupils/shapeshifter weirdness.
1402	Firestorm Phoenix	Super rare: flame-feathered owl should be fiery flying creature.
1403	Mirri, Cat Warrior	Super rare: cat slot should be iconic cat creature.
1404	Gorilla Titan	Super rare: fist emperor ape should be a large ape.
1405	Fire Drake	Super rare: flame pincher needs fire creature flavor.
1406	Tetravus	Keep: artifact construct fits Crystal Gear.
1407	Giant Shark	Super rare: dark shark should be shark, not drake.
1408	Triskelion	Super rare: electric/mechanical Turing flavor.
2101	Rogue Elephant	Creature flavor: seed-stealing beast should be animal/beast-like.
2102	Giant Oyster	Creature flavor: water creature slot, not a wizard.
2110	Dragon Whelp	Creature flavor: double-finned dragon should be a dragon.
2111	Fungusaur	Creature flavor: mushroom shell creature.
2113	Thunder Spirit	Creature flavor: electric trickster with thunder flavor.
2115	Thallid	Creature flavor: tree/leaf imp, plant/fungus body.
2311	Pygmy Hippo	Creature flavor: sleepy water animal.
2401	Scryb Sprites	Creature flavor: sheath fairy should be fae-like.
2402	Lichenthrope	Creature flavor: cactus/plant beast should be plant/fungus.
2403	Phantom Nishoba	Creature flavor: phantom electric beast, not human barbarian.
2404	Great Whale	Creature flavor: ancient rock whale should be whale-scale.
2405	Spectral Bears	Creature flavor: ghostly vine animal.
2407	Jareth, Leonine Titan	Super rare: fortune cat should be iconic cat.
3102	Clockwork Beast	Creature flavor: masked/steel bear slot should be artifact beast.
3108	Thunder Dragon	Creature flavor: ice tyrannosaurus should remain big monster/dragon.
3402	War Mammoth	Super rare: big creature slot, avoid human druid.
3404	Mahamoti Djinn	Super rare: blue humanoid/female mystic can be iconic blue creature.
3405	Lord of Atlantis	Super rare: keep iconic watery ruler for Hyrule.
4302	Cloud Dragon	Creature flavor: mysterious dragon should remain dragon-like.
4307	Stone Giant	Creature flavor: rock claw beast needs rock monster.
4407	Verdant Force	Super rare: vitality bomb should be iconic life/green force.
4410	Braids, Cabal Minion	Keep: time-law/mystic rare can stay iconic.
5404	Woolly Mammoths	Creature flavor: icefang mammoth should be mammoth.
5408	Revered Unicorn	Creature flavor: New Lima should avoid generic cleric.
5409	Nightmare	Creature flavor: dark abyss sheep needs dark iconic creature.
6405	Polar Kraken	Super rare: giant mouth rock should feel huge and rare.
6406	Giant Octopus	Creature flavor: fungus hunter squid should be aquatic tentacled creature.
