game_card_id	mtg_name	flavor_text
1101	Flowstone Giant	Flowstone Giant leaves this sign: A red spark refuses to die.
1102	Phantom Tiger	No one forgets Phantom Tiger when the past borrows a body.
1103	Camel	The trail of Camel says it clearly: the hunt begins in silence.
1104	Elvish Scout	Elvish Scout leaves this sign: The road bends under its weight.
1105	Raging Goblin	Raging Goblin is known for one thing: lightning waits under the skin.
1106	Arctic Merfolk	The trail of Arctic Merfolk says it clearly: the sea answers in song.
1107	Lightning Hounds	Where Lightning Hounds goes, loyalty comes with teeth.
1108	Plague Rats	Trainers whisper of Plague Rats: winter keeps close company.
1109	Druid Lyrist	No one forgets Druid Lyrist when the swarm notices first.
1110	Patron of the Wild	Patron of the Wild leaves this sign: Claws decide what words cannot.
1111	Trained Pronghorn	Trained Pronghorn leaves this sign: Frost marks the path.
1112	Taunting Elf	Taunting Elf is known for one thing: wild instinct chooses the path.
1113	Pikemen	The trail of Pikemen says it clearly: claws decide what words cannot.
1114	Hunter Sliver	No one forgets Hunter Sliver when a roar becomes weather.
1115	Wellwisher	Trainers whisper of Wellwisher: old roots stir beneath it.
1116	Jackalope Herd	Jackalope Herd is known for one thing: the warning growl comes too late.
1117	Daru Spiritualist	Daru Spiritualist leaves this sign: Wild instinct chooses the path.
1118	Willow Dryad	Willow Dryad is known for one thing: old roots stir beneath it.
1119	Viashino Sandscout	Trainers whisper of Viashino Sandscout: old weight gives it purpose.
1120	Tree Monkey	Trainers whisper of Tree Monkey: it leaps before doubt can catch it.
1121	Mtenda Lion	The trail of Mtenda Lion says it clearly: grace keeps its claws hidden.
1122	Merfolk of the Pearl Trident	The trail of Merfolk of the Pearl Trident says it clearly: the sea answers in song.
1123	Cinder Crawler	Trainers whisper of Cinder Crawler: smoke follows every step.
1124	Homarid	Trainers whisper of Homarid: dark omens gather quietly.
1201	Crashing Centaur	No one forgets Crashing Centaur when old weight gives it purpose.
1202	Willbender	Willbender leaves this sign: One word tilts the battle.
1203	Voice of Law	Trainers whisper of Voice of Law: light sharpens at its arrival.
1204	Coral Fighters	Coral Fighters leaves this sign: A ripple becomes a warning.
1205	Primordial Ooze	Primordial Ooze is known for one thing: heat gathers around its name.
1206	Defiant Vanguard	The trail of Defiant Vanguard says it clearly: the hunt begins in silence.
1207	Cinder Elemental	No one forgets Cinder Elemental when the world moves through it.
1208	Roc Hatchling	Trainers whisper of Roc Hatchling: a bright wing cuts the sky.
1209	Sengir Vampire	No one forgets Sengir Vampire when it smiles without warmth.
1210	Ovinomancer	Trainers whisper of Ovinomancer: old study becomes sudden power.
1211	Yavimaya Gnats	Where Yavimaya Gnats goes, small bodies carry endless hunger.
1212	Cloudreach Cavalry	Cloudreach Cavalry leaves this sign: Winter keeps close company.
1213	Samite Archer	Samite Archer is known for one thing: winter keeps close company.
1214	Spined Sliver	Trainers whisper of Spined Sliver: the next spark knows where to land.
1215	Undead Warchief	Undead Warchief leaves this sign: Old bones remember the road.
1216	Ornithopter	Trainers whisper of Ornithopter: a relic cuts the air.
1301	Emperor Crocodile	The trail of Emperor Crocodile says it clearly: stone remembers the impact.
1302	Callous Oppressor	No one forgets Callous Oppressor when eight arms, one patient mind.
1303	Kird Ape	Trainers whisper of Kird Ape: old forest strength charges forward.
1304	Pallimud	The trail of Pallimud says it clearly: instinct settles the argument.
1305	Forgotten Ancient	Forgotten Ancient is known for one thing: the world moves through it.
1306	Pyre Zombie	Trainers whisper of Pyre Zombie: the grave forgot to hold it.
1307	Savannah Lions	Where Savannah Lions goes, grace keeps its claws hidden.
1308	Eternal Dragon	Eternal Dragon is known for one thing: the sky remembers this one.
1309	Urza's Avenger	Trainers whisper of Urza's Avenger: old forest strength charges forward.
1310	Goblin Piledriver	Where Goblin Piledriver goes, smoke follows every step.
1311	Merfolk Looter	No one forgets Merfolk Looter when the sea answers in song.
