game_card_id	game_name	game_description	game_gen	game_rarity	game_element	mapping_role	event_kind	mtg_name	mtg_type_line	mtg_mana_value	mtg_colors	mtg_rarity	mtg_set	mtg_released_at	mtg_scryfall_id	mtg_scryfall_uri	mtg_image_normal	mtg_oracle_text	override_reason
1101	Sand Flame Dog	Dogs that live in desert areas like hot and dry environments.	0	0	0	creature		Flowstone Giant	Creature — Giant	4.0	R	common	tmp	1997-10-14	46e8240a-d882-4f60-8960-1856284e04a0	https://scryfall.com/card/tmp/174/flowstone-giant?utm_source=api	https://cards.scryfall.io/normal/front/4/6/46e8240a-d882-4f60-8960-1856284e04a0.jpg?1562053769	{R}: This creature gets +2/-2 until end of turn.	
1102	Minite	A herbivore with a gentle personality.	0	0	7	creature		Phantom Tiger	Creature — Cat Spirit	3.0	G	common	jud	2002-05-27	32839296-e583-4f71-aa44-dbe16408665e	https://scryfall.com/card/jud/129/phantom-tiger?utm_source=api	https://cards.scryfall.io/normal/front/3/2/32839296-e583-4f71-aa44-dbe16408665e.jpg?1562629259	This creature enters with two +1/+1 counters on it.\nIf damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.	
1103	Naughty Bear	A species that has a lively personality and likes to live in groups.	0	0	7	creature		Camel	Creature — Camel	1.0	W	common	arn	1993-12-17	e0078aa8-bfb8-43b0-a6b7-1991596c21e1	https://scryfall.com/card/arn/3/camel?utm_source=api	https://cards.scryfall.io/normal/front/e/0/e0078aa8-bfb8-43b0-a6b7-1991596c21e1.jpg?1562936810	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)\nAs long as this creature is attacking, prevent all damage Deserts would deal to this creature and to creatures banded with this creature.	
1104	Turabi	A gentle hedgehog that lives by the pond.	0	0	6	creature		Elvish Scout	Creature — Elf Scout	1.0	G	common	fem	1994-11-01	689cd2ed-be81-4769-a8ec-287946301396	https://scryfall.com/card/fem/68a/elvish-scout?utm_source=api	https://cards.scryfall.io/normal/front/6/8/689cd2ed-be81-4769-a8ec-287946301396.jpg?1562914384	{G}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by it this turn.	
1105	Shock Bear	Electric Bear doesn't like wearing clothes very much. He hates pants and T-shirts, but he doesn't dislike shoes and gloves.	0	0	3	creature		Raging Goblin	Creature — Goblin Berserker	1.0	R	common	7ed	2001-04-11	657190fe-9c18-4134-a556-e081daff73cd	https://scryfall.com/card/7ed/211/raging-goblin?utm_source=api	https://cards.scryfall.io/normal/front/6/5/657190fe-9c18-4134-a556-e081daff73cd.jpg?1562239116	Haste (This creature can attack and {T} as soon as it comes under your control.)	
1106	Mu Ti	Bear living in water on arctic map.	0	0	12	creature		Arctic Merfolk	Creature — Merfolk	2.0	U	common	pls	2001-02-05	86369fe5-d86d-4f4c-8f3d-dedc174f2032	https://scryfall.com/card/pls/21/arctic-merfolk?utm_source=api	https://cards.scryfall.io/normal/front/8/6/86369fe5-d86d-4f4c-8f3d-dedc174f2032.jpg?1562923309	Kicker—Return a creature you control to its owner's hand. (You may return a creature you control to its owner's hand in addition to any other costs as you cast this spell.)\nIf this creature was kicked, it enters with a +1/+1 counter on it.	
1107	Electric Dog	Angry dogs whose body hair becomes electrically charged when angry.	0	0	3	creature		Lightning Hounds	Creature — Dog	4.0	R	common	mmq	1999-10-04	38c82a1d-5db1-4090-b446-cc5bc6dc811d	https://scryfall.com/card/mmq/201/lightning-hounds?utm_source=api	https://cards.scryfall.io/normal/front/3/8/38c82a1d-5db1-4090-b446-cc5bc6dc811d.jpg?1562379929	First strike	Creature flavor: electric dog should map to a hound, not a wizard.
1108	Ice Cave Rat	A herbivore that burrows in glaciers.	0	0	12	creature		Plague Rats	Creature — Rat	3.0	B	common	5ed	1997-03-24	c99fd75c-4b41-411f-92b0-ca3b220946b5	https://scryfall.com/card/5ed/188/plague-rats?utm_source=api	https://cards.scryfall.io/normal/front/c/9/c99fd75c-4b41-411f-92b0-ca3b220946b5.jpg?1562594232	Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.	Creature flavor: rat slot should map to a rat, not soldiers.
1109	Colorful Butterfly	Small insects living in the forest.	0	0	4	creature		Druid Lyrist	Creature — Human Druid	1.0	G	common	ody	2001-10-01	e9923532-bc4f-44de-b963-d6914321c49a	https://scryfall.com/card/ody/238/druid-lyrist?utm_source=api	https://cards.scryfall.io/normal/front/e/9/e9923532-bc4f-44de-b963-d6914321c49a.jpg?1562938699	{G}, {T}, Sacrifice this creature: Destroy target enchantment.	
1110	Amy Meow	A cat that likes to eat fish, meat and rice. Because of its cute appearance, many humans keep it as a pet at home.	0	0	7	creature		Patron of the Wild	Creature — Elf	1.0	G	common	lgn	2003-02-03	7f7a0810-3970-454f-8381-700d6c6aefdc	https://scryfall.com/card/lgn/134/patron-of-the-wild?utm_source=api	https://cards.scryfall.io/normal/front/7/f/7f7a0810-3970-454f-8381-700d6c6aefdc.jpg?1562920729	Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen this creature is turned face up, target creature gets +3/+3 until end of turn.	
